Date,AAPL,BAC,BTC-USD,C,COKE,DOGE-USD,ETH-USD,GOOG,INTC,JPM,MCD,MSFT,NFLX,NKE,VOD
2000-04-13,1.0161830186843872,26.40625,,469.21875,49.0625,,,,60.5625,56.33333206176758,34.125,39.625,,5.492187976837158,60.57958221435547
2000-04-14,0.9988840222358704,24.96875,,435.0,48.875,,,,55.25,52.58333206176758,33.5625,37.0625,,5.328125,53.007137298583984
2000-04-17,1.1060270071029663,25.15625,,444.375,50.25,,,,61.5,52.41666793823242,33.6875,37.9375,,5.25,55.62836837768555
2000-04-18,1.1328129768371582,25.5,,465.9375,49.0,,,,64.5,53.66666793823242,32.5,40.28125,,5.296875,58.395225524902344
2000-04-19,1.0814729928970337,24.71875,,447.1875,50.0,,,,59.53125,52.0,33.0625,39.34375,,5.507812976837158,56.72054672241211
2000-04-20,1.0613839626312256,24.78125,,459.375,50.125,,,,57.6875,51.54166793823242,35.8125,39.46875,,5.492187976837158,54.60900115966797
2000-04-24,1.0758930444717407,25.75,,463.59375,51.4375,,,,58.0625,49.83333206176758,39.0,33.3125,,5.398437976837158,51.259647369384766
2000-04-25,1.1456470489501953,26.71875,,483.75,51.5,,,,62.5,52.04166793823242,38.75,34.6875,,5.703125,53.51681900024414
2000-04-26,1.0831470489501953,25.875,,468.75,51.25,,,,60.40625,50.95833206176758,38.875,34.0,,5.484375,51.55089569091797
2000-04-27,1.1316959857940674,25.625,,461.25,51.0,,,,62.65625,49.25,38.8125,34.90625,,5.414062976837158,53.589630126953125
2000-04-28,1.1077009439468384,24.5,,442.5,51.0,,,,63.40625,48.08333206176758,38.0625,34.875,,5.429687976837158,54.75462341308594
2000-05-01,1.1099330186843872,25.0,,452.34375,50.0,,,,63.5625,49.16666793823242,38.875,36.71875,,5.820312976837158,54.82743453979492
2000-05-02,1.052454948425293,24.8125,,458.4375,50.0,,,,60.59375,50.75,39.1875,34.9375,,5.65625,51.98776626586914
2000-05-03,1.027343988418579,24.5,,450.9375,50.359375,,,,59.53125,49.5,37.3125,35.28125,,5.296875,49.43934631347656
2000-05-04,0.9882810115814209,24.0,,439.6875,50.0,,,,59.78125,48.83333206176758,35.75,35.21875,,5.34375,48.274356842041016
2000-05-05,1.010045051574707,23.78125,,446.71875,50.0,,,,61.6875,48.125,35.6875,35.5625,,5.34375,50.31309127807617
2000-05-08,0.9832590222358704,24.09375,,448.125,49.9375,,,,58.8125,48.0,35.8125,34.90625,,5.382812976837158,48.20154571533203
2000-05-09,0.9414060115814209,24.09375,,446.25,50.25,,,,58.46875,47.25,37.0,33.90625,,5.398437976837158,45.07062911987305
2000-05-10,0.8867189884185791,23.25,,423.28125,46.5,,,,53.03125,45.83333206176758,38.625,33.09375,,5.28125,45.65312576293945
2000-05-11,0.9179689884185791,23.6875,,441.5625,50.0,,,,57.78125,46.66666793823242,38.1875,33.9375,,5.335937976837158,47.91029739379883
2000-05-12,0.9609379768371582,24.296875,,451.40625,49.25,,,,57.5,47.75,37.5625,34.40625,,5.351562976837158,49.038883209228516
2000-05-15,0.9017860293388367,25.3125,,471.5625,46.6875,,,,59.0625,49.75,38.1875,34.6875,,5.515625,49.949031829833984
2000-05-16,0.943638026714325,24.84375,,462.65625,50.0,,,,60.9375,49.5,39.1875,34.75,,5.523437976837158,48.419979095458984
2000-05-17,0.9051340222358704,24.65625,,457.96875,50.0,,,,61.59375,49.33333206176758,39.0625,33.84375,,5.164062976837158,47.1093635559082
2000-05-18,0.8995540142059326,25.15625,,461.71875,48.5,,,,61.96875,50.08333206176758,38.625,33.09375,,5.09375,45.72593688964844
2000-05-19,0.8392860293388367,24.875,,457.03125,49.5,,,,58.9375,48.33333206176758,37.8125,32.53125,,5.0,42.30377197265625
2000-05-22,0.803013026714325,25.125,,459.84375,49.5,,,,59.1875,48.125,38.875,32.09375,,4.953125,43.905635833740234
2000-05-23,0.7661830186843872,26.28125,,467.34375,49.0,,,,54.9375,48.75,39.125,31.59375,,5.164062976837158,45.434688568115234
2000-05-24,0.7829239964485168,27.96875,,460.3125,49.5,,,,58.6875,47.75,38.75,32.78125,,5.4375,46.45405578613281
2000-05-25,0.7791569828987122,27.65625,,439.21875,49.125,,,,57.59375,46.83333206176758,37.3125,30.75,,5.421875,48.6384162902832
2000-05-26,0.7712050080299377,27.3125,,436.875,49.125,,,,58.78125,47.0,37.75,30.71875,,5.445312976837158,48.929664611816406
2000-05-30,0.7818080186843872,27.46875,,452.34375,49.5,,,,62.875,49.0,36.5625,31.6875,,5.53125,54.09931564331055
2000-05-31,0.75,27.71875,,466.40625,48.75,,,,62.34375,49.79166793823242,35.8125,31.28125,,5.359375,53.444007873535156
2000-06-01,0.7957590222358704,28.40625,,474.84375,47.875,,,,64.84375,51.41666793823242,35.625,32.28125,,5.40625,56.21086502075195
2000-06-02,0.8264510035514832,30.5,,499.6875,48.5,,,,67.09375,53.79166793823242,36.125,33.15625,,5.53125,59.41459274291992
2000-06-05,0.8152899742126465,29.625,,498.28125,47.8125,,,,66.28125,52.91666793823242,35.5,33.4375,,5.523437976837158,58.24959945678711
2000-06-06,0.8292409777641296,28.375,,486.09375,46.75,,,,64.78125,51.33333206176758,35.125,34.8125,,5.25,56.866172790527344
2000-06-07,0.8621649742126465,28.90625,,497.8125,46.25,,,,64.46875,51.25,34.875,35.25,,5.492187976837158,58.24959945678711
2000-06-08,0.8465399742126465,28.375,,483.75,48.0,,,,63.09375,51.0,35.4375,34.40625,,5.367187976837158,56.06523895263672
2000-06-09,0.8549110293388367,28.0,,480.0,48.375,,,,63.53125,48.875,33.875,34.40625,,5.195312976837158,55.846805572509766
2000-06-12,0.8141739964485168,28.234375,,480.0,48.375,,,,62.53125,48.59375,32.625,33.4375,,5.050780773162842,56.502113342285156
2000-06-13,0.84375,27.84375,,489.84375,48.75,,,,65.75,48.1875,32.375,33.9375,,4.875,57.958351135253906
2000-06-14,0.8074780106544495,27.65625,,503.4375,48.375,,,,63.21875,50.0625,31.75,35.25,,4.945312976837158,57.23023223876953
2000-06-15,0.8247770071029663,25.96875,,486.5625,47.0,,,,64.125,48.8125,32.125,36.1875,,4.789062976837158,57.3758544921875
2000-06-16,0.8141739964485168,24.0,,470.15625,46.625,,,,63.03125,45.4375,31.3125,36.28125,,4.65625,57.88554000854492
2000-06-19,0.8627229928970337,24.1875,,482.34375,45.8125,,,,68.25,46.875,31.5,36.84375,,4.570312976837158,56.79336166381836
2000-06-20,0.904017984867096,24.25,,482.8125,45.5,,,,69.15625,47.9375,31.5,37.46875,,4.460937976837158,54.90024948120117
2000-06-21,0.9933040142059326,23.8125,,468.75,45.375,,,,69.5,47.0,31.3125,40.34375,,4.445312976837158,56.79336166381836
2000-06-22,0.9598209857940674,23.5,,466.875,44.5,,,,67.03125,46.375,31.4375,39.9375,,4.398437976837158,56.06523895263672
2000-06-23,0.9229909777641296,23.6875,,464.0625,45.15625,,,,67.1875,46.875,32.625,38.84375,,4.632812976837158,51.18683624267578
