Date,AAPL,BAC,BTC-USD,COKE,DOGE-USD,ETH-USD,GOOG,INTC,JPM,MCD,MS,MSFT,NFLX,NKE,VOD
1980-08-18,,1.9375,,8.25,,,,0.453125,6.148148059844971,1.2191359996795654,,,,,
1980-08-19,,1.90625,,8.125,,,,0.4466150104999542,6.129630088806152,1.1820989847183228,,,,,
1980-08-20,,1.90625,,8.5,,,,0.45572900772094727,6.111111164093018,1.191357970237732,,,,,
1980-08-21,,1.890625,,8.625,,,,0.4609380066394806,6.129630088806152,1.2037039995193481,,,,,
1980-08-22,,1.890625,,8.875,,,,0.46354201436042786,6.148148059844971,1.2222219705581665,,,,,
1980-08-25,,1.890625,,8.75,,,,0.46354201436042786,6.148148059844971,1.2283949851989746,,,,,
1980-08-26,,1.90625,,8.625,,,,0.46354201436042786,6.222221851348877,1.2191359996795654,,,,,
1980-08-27,,1.90625,,8.25,,,,0.4622400104999542,6.092593193054199,1.19753098487854,,,,,
1980-08-28,,1.90625,,8.375,,,,0.45833298563957214,6.037036895751953,1.1820989847183228,,,,,
1980-08-29,,1.890625,,8.375,,,,0.45572900772094727,6.074073791503906,1.1820989847183228,,,,,
1980-09-02,,1.90625,,8.5,,,,0.4622400104999542,6.1666669845581055,1.19753098487854,,,,,
1980-09-03,,1.9375,,8.625,,,,0.4765630066394806,6.388888835906982,1.2191359996795654,,,,,
1980-09-04,,1.953125,,8.625,,,,0.4804689884185791,6.314815044403076,1.1728399991989136,,,,,
1980-09-05,,1.9375,,8.375,,,,0.4778650104999542,6.277778148651123,1.1697529554367065,,,,,
1980-09-08,,1.90625,,8.25,,,,0.4648439884185791,6.314815044403076,1.1574070453643799,,,,,
1980-09-09,,1.921875,,8.125,,,,0.46614599227905273,6.1666669845581055,1.1512349843978882,,,,,
1980-09-10,,1.9375,,7.875,,,,0.4609380066394806,6.222221851348877,1.1574070453643799,,,,,
1980-09-11,,1.9375,,7.875,,,,0.46354201436042786,6.3333330154418945,1.1543209552764893,,,,,
1980-09-12,,1.921875,,7.75,,,,0.4622400104999542,6.314815044403076,1.1574070453643799,,,,,
1980-09-15,,1.84375,,7.75,,,,0.4570310115814209,6.351851940155029,1.1790119409561157,,,,,
1980-09-16,,1.84375,,8.0,,,,0.47005200386047363,6.314815044403076,1.2160489559173584,,,,,
1980-09-17,,1.859375,,8.375,,,,0.4908849895000458,6.3333330154418945,1.2407410144805908,,,,,
1980-09-18,,1.859375,,8.25,,,,0.4921880066394806,6.351851940155029,1.2222219705581665,,,,,
1980-09-19,,1.8125,,8.375,,,,0.4960939884185791,6.3333330154418945,1.2314809560775757,,,,,
1980-09-22,,1.796875,,8.375,,,,0.4882810115814209,6.314815044403076,1.2407410144805908,,,,,
1980-09-23,,1.78125,,8.25,,,,0.47005200386047363,6.3333330154418945,1.2314809560775757,,,,,
1980-09-24,,1.78125,,8.125,,,,0.4648439884185791,6.296296119689941,1.2253090143203735,,,,,
1980-09-25,,1.78125,,8.0,,,,0.4596349895000458,6.203703880310059,1.2037039995193481,,,,,
1980-09-26,,1.71875,,7.875,,,,0.453125,5.907406806945801,1.1790119409561157,,,,,
1980-09-29,,1.671875,,7.5,,,,0.45442700386047363,5.814815044403076,1.1790119409561157,,,,,
1980-09-30,,1.65625,,7.5,,,,0.46354201436042786,5.870369911193848,1.1851849555969238,,,,,
1980-10-01,,1.625,,7.625,,,,0.46875,5.814815044403076,1.1851849555969238,,,,,
1980-10-02,,1.640625,,7.75,,,,0.46744799613952637,5.907406806945801,1.1697529554367065,,,,,
1980-10-03,,1.640625,,7.75,,,,0.48307299613952637,6.018518924713135,1.1851849555969238,,,,,
1980-10-06,,1.65625,,7.875,,,,0.5130209922790527,6.074073791503906,1.1820989847183228,,,,,
1980-10-07,,1.640625,,8.0,,,,0.5143229961395264,6.111111164093018,1.1666669845581055,,,,,
1980-10-08,,1.671875,,8.0,,,,0.5039060115814209,6.111111164093018,1.1728399991989136,,,,,
1980-10-09,,1.671875,,8.0,,,,0.5026040077209473,6.129630088806152,1.1604939699172974,,,,,
1980-10-10,,1.671875,,8.0,,,,0.49739599227905273,6.129630088806152,1.138888955116272,,,,,
1980-10-13,,1.671875,,7.875,,,,0.5,6.185184955596924,1.1543209552764893,,,,,
1980-10-14,,1.65625,,7.75,,,,0.5026040077209473,6.185184955596924,1.1543209552764893,,,,,
1980-10-15,,1.671875,,7.75,,,,0.5130209922790527,6.074073791503906,1.1604939699172974,,,,,
1980-10-16,,1.640625,,7.625,,,,0.5104169845581055,6.092593193054199,1.14506196975708,,,,,
1980-10-17,,1.625,,7.5,,,,0.5052080154418945,6.111111164093018,1.138888955116272,,,,,
1980-10-20,,1.640625,,7.5,,,,0.5,6.092593193054199,1.138888955116272,,,,,
1980-10-21,,1.625,,7.375,,,,0.49479201436042786,6.092593193054199,1.1296299695968628,,,,,
1980-10-22,,1.609375,,7.375,,,,0.5,6.074073791503906,1.1327159404754639,,,,,
1980-10-23,,1.65625,,7.5,,,,0.48958298563957214,6.037036895751953,1.0987650156021118,,,,,
1980-10-24,,1.640625,,7.5,,,,0.47916701436042786,6.037036895751953,1.0925929546356201,,,,,
1980-10-27,,1.625,,7.5,,,,0.453125,6.074073791503906,1.0987650156021118,,,,,
1980-10-28,,1.640625,,7.5,,,,0.46614599227905273,6.092593193054199,1.0956790447235107,,,,,
1980-10-29,,1.65625,,7.5,,,,0.4765630066394806,6.092593193054199,1.0895060300827026,,,,,
1980-10-30,,1.640625,,7.375,,,,0.42708298563957214,6.092593193054199,1.0802470445632935,,,,,
1980-10-31,,1.640625,,7.375,,,,0.4375,6.092593193054199,1.0925929546356201,,,,,
1980-11-03,,1.65625,,7.25,,,,0.4375,6.074073791503906,1.1080249547958374,,,,,
1980-11-05,,1.6875,,7.375,,,,0.46875,6.074073791503906,1.1265430450439453,,,,,
1980-11-06,,1.625,,7.375,,,,0.44010400772094727,5.888888835906982,1.0895060300827026,,,,,
1980-11-07,,1.59375,,7.4375,,,,0.44791701436042786,5.888888835906982,1.0956790447235107,,,,,
1980-11-10,,1.578125,,7.375,,,,0.4453130066394806,5.925926208496094,1.0864200592041016,,,,,
1980-11-11,,1.625,,7.375,,,,0.453125,6.0,1.0895060300827026,,,,,
1980-11-12,,1.6875,,7.375,,,,0.46875,6.092593193054199,1.0895060300827026,,,,,
1980-11-13,,1.671875,,7.5,,,,0.47916701436042786,6.222221851348877,1.0895060300827026,,,,,
1980-11-14,,1.609375,,7.5,,,,0.5,6.240740776062012,1.0802470445632935,,,,,
1980-11-17,,1.640625,,7.5,,,,0.5026040077209473,6.074073791503906,1.0833330154418945,,,,,
1980-11-18,,1.609375,,7.625,,,,0.515625,6.074073791503906,1.0956790447235107,,,,,
1980-11-19,,1.609375,,7.625,,,,0.5078129768371582,5.925926208496094,1.1172840595245361,,,,,
1980-11-20,,1.609375,,8.125,,,,0.5026040077209473,5.907406806945801,1.1543209552764893,,,,,
1980-11-21,,1.609375,,8.25,,,,0.49479201436042786,5.814815044403076,1.1604939699172974,,,,,
1980-11-24,,1.640625,,8.0,,,,0.48697900772094727,5.851851940155029,1.1604939699172974,,,,,
1980-11-25,,1.65625,,7.875,,,,0.48697900772094727,5.870369911193848,1.1574070453643799,,,,,
1980-11-26,,1.640625,,8.0,,,,0.48958298563957214,5.8333330154418945,1.138888955116272,,,,,
1980-11-28,,1.640625,,8.125,,,,0.484375,5.8333330154418945,1.1327159404754639,,,,,
1980-12-01,,1.609375,,8.0,,,,0.44791701436042786,5.777778148651123,1.0987650156021118,,,,,
1980-12-02,,1.625,,7.875,,,,0.44791701436042786,5.796296119689941,1.1080249547958374,,,,0.1796880066394806,
1980-12-03,,1.578125,,8.625,,,,0.453125,5.759259223937988,1.1141979694366455,,,,0.1757809966802597,
1980-12-04,,1.59375,,8.5,,,,0.4622400104999542,5.814815044403076,1.1296299695968628,,,,0.18164099752902985,
1980-12-05,,1.578125,,8.5,,,,0.43229201436042786,5.759259223937988,1.14506196975708,,,,0.171875,
1980-12-08,,1.5625,,8.0,,,,0.41666701436042786,5.777778148651123,1.1203700304031372,,,,0.16210900247097015,
1980-12-09,,1.546875,,8.125,,,,0.43489599227905273,5.722221851348877,1.1203700304031372,,,,0.15820300579071045,
1980-12-10,,1.546875,,8.125,,,,0.4296880066394806,5.740740776062012,1.1141979694366455,,,,0.1484380066394806,
1980-12-11,,1.546875,,7.625,,,,0.41666701436042786,5.759259223937988,1.1234569549560547,,,,0.140625,
1980-12-12,0.1283479928970337,1.5625,,7.625,,,,0.4296880066394806,5.722221851348877,1.1327159404754639,,,,0.14648400247097015,
1980-12-15,0.12165199965238571,1.5625,,7.75,,,,0.4296880066394806,5.759259223937988,1.1296299695968628,,,,0.1523440033197403,
1980-12-16,0.11272300034761429,1.5625,,7.625,,,,0.43229201436042786,5.814815044403076,1.1234569549560547,,,,0.1484380066394806,
1980-12-17,0.11551299691200256,1.59375,,7.75,,,,0.42447900772094727,6.0,1.111111044883728,,,,0.14257800579071045,
1980-12-18,0.11886200308799744,1.6875,,8.125,,,,0.421875,6.1666669845581055,1.1018520593643188,,,,0.14648400247097015,
1980-12-19,0.12611599266529083,1.671875,,8.125,,,,0.40104201436042786,6.185184955596924,1.10493803024292,,,,0.1523440033197403,
1980-12-22,0.1322540044784546,1.6875,,8.25,,,,0.40104201436042786,6.277778148651123,1.1419750452041626,,,,0.1523440033197403,
1980-12-23,0.13783499598503113,1.734375,,8.125,,,,0.40885400772094727,6.1666669845581055,1.1358020305633545,,,,0.15625,
1980-12-24,0.14508900046348572,1.71875,,8.125,,,,0.41666701436042786,6.203703880310059,1.1512349843978882,,,,0.16210900247097015,
1980-12-26,0.15848200023174286,1.71875,,8.125,,,,0.42708298563957214,6.185184955596924,1.14506196975708,,,,0.1640630066394806,
1980-12-29,0.16071400046348572,1.6875,,8.125,,,,0.4140630066394806,6.185184955596924,1.1327159404754639,,,,0.16210900247097015,
1980-12-30,0.156808003783226,1.671875,,8.125,,,,0.41927099227905273,6.185184955596924,1.1635799407958984,,,,0.16601599752902985,
1980-12-31,0.1523440033197403,1.6875,,8.0,,,,0.41927099227905273,6.314815044403076,1.2037039995193481,,,,0.1640630066394806,
1981-01-02,0.15401799976825714,1.6875,,8.0,,,,0.41927099227905273,6.351851940155029,1.2283949851989746,,,,0.1679690033197403,
